openlibrary_author_key,author_name,candidate_rank,wikidata_id,wikidata_label,wikidata_description,wikidata_url
OL10997841A,Glenn Walter,1,Q91890750,Glenn A Walter,researcher (ORCID 0000-0002-7346-2244),http://www.wikidata.org/entity/Q91890750
OL10997841A,Glenn Walter,2,Q89807185,Glenn D Walters,researcher,http://www.wikidata.org/entity/Q89807185
OL10997841A,Glenn Walter,3,Q132564774,Glenn Walters,researcher (ORCID 0000-0001-8305-4976),http://www.wikidata.org/entity/Q132564774
OL10997841A,Glenn Walter,4,Q48987503,Glenn Walters Dam,"dam in Washington County, Oregon, United States of America",http://www.wikidata.org/entity/Q48987503
OL10997841A,Glenn Walter,5,Q105397249,Glenn Walters,Wikimedia disambiguation page,http://www.wikidata.org/entity/Q105397249
OL7122754A,Monica Sharma,1,Q101573250,Monica Sharma,researcher ORCID 0000-0003-3599-0596,http://www.wikidata.org/entity/Q101573250
OL7122754A,Monica Sharma,2,Q79372452,Monica Sharma,researcher (ORCID 0000-0002-7029-293X),http://www.wikidata.org/entity/Q79372452
OL7122754A,Monica Sharma,3,Q87813327,Monica Sharma,researcher (ORCID 0000-0002-5078-5518),http://www.wikidata.org/entity/Q87813327
OL7122754A,Monica Sharma,4,Q64149112,Monica Sharma,researcher (ORCID 0000-0001-6212-2853),http://www.wikidata.org/entity/Q64149112
OL7122754A,Monica Sharma,5,Q19898333,Monica Sharma,Indian television actress,http://www.wikidata.org/entity/Q19898333
OL2850369A,Dennis Tourish,1,Q59140026,Dennis Tourish,professor of leadership studies,http://www.wikidata.org/entity/Q59140026
OL40032A,John D. Adams,1,Q116251743,John D. Adams,journalist and co-owner of the Arkansas Gazette,http://www.wikidata.org/entity/Q116251743
OL40032A,John D. Adams,2,Q41690335,John Donley Adams,American lawyer,http://www.wikidata.org/entity/Q41690335
OL40032A,John D. Adams,3,Q6218170,John Adams,current Chief of the Communications Security Establishment Canada and Associate Deputy Minister of National Defence,http://www.wikidata.org/entity/Q6218170
OL953196A,Richard Higginson,1,Q75952876,Richard Higginson Lowe,Peerage person ID=426117,http://www.wikidata.org/entity/Q75952876
OL953196A,Richard Higginson,2,Q139460411,Richard Higginson,,http://www.wikidata.org/entity/Q139460411
OL7000993A,Issa M. Saleh,1,Q139466667,Issa M. Saleh,,http://www.wikidata.org/entity/Q139466667
OL3227622A,Myint Swe Khine,1,Q130775381,Myint Swe Khine,,http://www.wikidata.org/entity/Q130775381
OL9266383A,William Torbert,1,Q133463417,William T. Leonard,American writer on film and theatre,http://www.wikidata.org/entity/Q133463417
OL5480270A,Terry Anderson,1,Q7704060,Terry Anderson,English association footballer (1944-1980),http://www.wikidata.org/entity/Q7704060
OL5480270A,Terry Anderson,2,Q111511944,Terry Anderson,,http://www.wikidata.org/entity/Q111511944
OL5480270A,Terry Anderson,3,Q100720908,Terry Anderson,college basketball player (2008–2008) Northern Colorado,http://www.wikidata.org/entity/Q100720908
OL5480270A,Terry Anderson,4,Q112436082,Terry Anderson,,http://www.wikidata.org/entity/Q112436082
OL5480270A,Terry Anderson,5,Q7704058,Terry Anderson,Wikimedia disambiguation page,http://www.wikidata.org/entity/Q7704058
OL440459A,John E. Roueche,1,Q102202487,"John E. Roueche, Jr.",Ph.D. Florida State University 1964,http://www.wikidata.org/entity/Q102202487
OL2938000A,George A. Baker,1,Q20007054,George Augustus Baker,American painter (1821–1880),http://www.wikidata.org/entity/Q20007054
OL2938000A,George A. Baker,2,Q109725444,George Augustus Baker,author and lawyer 1849-1906,http://www.wikidata.org/entity/Q109725444
OL2938000A,George A. Baker,3,Q102144720,George Baker,American statistician,http://www.wikidata.org/entity/Q102144720
OL2938000A,George A. Baker,4,Q112377666,George Allen Baker,,http://www.wikidata.org/entity/Q112377666
OL2938000A,George A. Baker,5,Q141435154,George A. Baker,,http://www.wikidata.org/entity/Q141435154
OL1711554A,Robert R. Rose,1,Q64020339,Robert R. Rose,,http://www.wikidata.org/entity/Q64020339
OL1711554A,Robert R. Rose,2,Q18681522,Robert R. Rosenbaum,American medical doctor and philanthropist,http://www.wikidata.org/entity/Q18681522
OL1711554A,Robert R. Rose,3,Q62018363,Robert R. Rose Jr.,American judge,http://www.wikidata.org/entity/Q62018363
OL6265933A,Ken Wiltshire,1,Q6390837,Kenneth Wiltshire,Australian academic,http://www.wikidata.org/entity/Q6390837
OL16039789A,Ismael sanchez,1,Q1674335,Ismael Sánchez,Dominican bicycle racer,http://www.wikidata.org/entity/Q1674335
OL16039789A,Ismael sanchez,2,Q122964945,Ismael Sánchez,Argentinian soldier,http://www.wikidata.org/entity/Q122964945
OL16039789A,Ismael sanchez,3,Q50737636,Ismael Sánchez Estevan,,http://www.wikidata.org/entity/Q50737636
OL16039789A,Ismael sanchez,4,Q124650221,Ismael Sánchez-Jiménez,researcher,http://www.wikidata.org/entity/Q124650221
OL16039789A,Ismael sanchez,5,Q73470033,Ismael Sánchez-Ramos,researcher,http://www.wikidata.org/entity/Q73470033
OL227813A,Robert K. Greenleaf,1,Q7346224,Robert K. Greenleaf,American consultant (1904–1990),http://www.wikidata.org/entity/Q7346224
OL1171623A,Kent M. Keith,1,Q11301302,Kent M. Keith,American writer and sociologist,http://www.wikidata.org/entity/Q11301302
OL3478629A,Geoff Watts,1,Q64497023,Geoff Watts,researcher,http://www.wikidata.org/entity/Q64497023
OL3478629A,Geoff Watts,2,Q112537130,Geoff Watts,,http://www.wikidata.org/entity/Q112537130
OL5218702A,Mike Cohn,1,Q6846351,Mike Cohn,American software developer,http://www.wikidata.org/entity/Q6846351
OL3032412A,Esther Derby,1,Q130767212,Esther Derby,,http://www.wikidata.org/entity/Q130767212
OL399219A,Alfons Trompenaars,1,Q712041,Fons Trompenaars,Dutch-French anthropologist,http://www.wikidata.org/entity/Q712041
OL6973134A,Larry C. Spears,1,Q112505992,Larry C. Spears,,http://www.wikidata.org/entity/Q112505992
OL7039356A,Dirk van Dierendonck,1,Q58173568,Dirk Van Dierendonck,"researcher, ORCID id # 0000-0002-3545-1798",http://www.wikidata.org/entity/Q58173568
OL7039356A,Dirk van Dierendonck,2,Q133788744,Dirk van Dierendonck,,http://www.wikidata.org/entity/Q133788744
OL2732590A,Larry C. Spears,1,Q112505992,Larry C. Spears,,http://www.wikidata.org/entity/Q112505992
OL6893146A,Michele Lawrence,1,Q123687765,Michele Jawondo,Snr VP of Omidyar Network,http://www.wikidata.org/entity/Q123687765
OL2623924A,Ken Blanchard,1,Q320595,Kenneth Hartley Blanchard,American business writer,http://www.wikidata.org/entity/Q320595
OL5310633A,Michael Rucker,1,Q107736835,Michael Rucker,American baseball player (born 1994),http://www.wikidata.org/entity/Q107736835
OL5310633A,Michael Rucker,2,Q139226574,Michael Rucker,,http://www.wikidata.org/entity/Q139226574
OL5310633A,Michael Rucker,3,Q87656359,Michael Rückert,researcher,http://www.wikidata.org/entity/Q87656359
OL5310633A,Michael Rucker,4,Q139141292,Michael Rückert,,http://www.wikidata.org/entity/Q139141292
OL5310633A,Michael Rucker,5,Q114565775,Michael Rucker,Wikimedia disambiguation page,http://www.wikidata.org/entity/Q114565775
OL2994264A,Holly Spence,1,Q100561183,Holly Spence,researcher,http://www.wikidata.org/entity/Q100561183
OL2994264A,Holly Spence,2,Q111576962,Holly Spence,,http://www.wikidata.org/entity/Q111576962
OL2994264A,Holly Spence,3,Q115694198,Holly Spencer,,http://www.wikidata.org/entity/Q115694198
OL8049704A,Mary Culver,1,Q98696988,Mary Culver,,http://www.wikidata.org/entity/Q98696988
OL8049704A,Mary Culver,2,Q94628047,Mary Culver,,http://www.wikidata.org/entity/Q94628047
OL217423A,James C. Hunter,1,Q47118636,James C. Hunter,,http://www.wikidata.org/entity/Q47118636
OL6231358A,Ursula Thomas,1,Q133654313,Ursula Thomas,,http://www.wikidata.org/entity/Q133654313
OL6231358A,Ursula Thomas,2,Q99394439,Ursula Thomas-Stein,,http://www.wikidata.org/entity/Q99394439
OL3311046A,Philip Mathew,1,Q33683965,Philip Mathew,botanist,http://www.wikidata.org/entity/Q33683965
OL3311046A,Philip Mathew,2,Q7184044,Philip Mathews,American basketball coach (born 1950),http://www.wikidata.org/entity/Q7184044
OL3311046A,Philip Mathew,3,Q21544705,Philip Mathews,English artist,http://www.wikidata.org/entity/Q21544705
OL3311046A,Philip Mathew,4,Q64624446,Philip Mathews,Wikimedia disambiguation page,http://www.wikidata.org/entity/Q64624446
OL3311046A,Philip Mathew,5,Q43375742,Philip Mathews,Archdeacon of Connor from 1689 to 1694,http://www.wikidata.org/entity/Q43375742
OL221620A,Mary Elizabeth O'Brien,1,Q112456610,Mary Elizabeth O'Brien,,http://www.wikidata.org/entity/Q112456610
OL221620A,Mary Elizabeth O'Brien,2,Q139523605,Mary-Elizabeth O'Brien,,http://www.wikidata.org/entity/Q139523605
OL579275A,Ralph Lewis,1,Q684079,Ralph Lewis,American actor (1872-1937),http://www.wikidata.org/entity/Q684079
OL579275A,Ralph Lewis,2,Q109651356,Ralph Lewis,"psychiatrist at Sunnybrook Health Sciences Centre in Toronto, Canada",http://www.wikidata.org/entity/Q109651356
OL579275A,Ralph Lewis,3,Q69142484,Ralph L Sacco,American neurologist,http://www.wikidata.org/entity/Q69142484
OL579275A,Ralph Lewis,4,Q3929794,Ralph Lewis,American basketball player-coach,http://www.wikidata.org/entity/Q3929794
OL579275A,Ralph Lewis,5,Q107369515,Ralph Lewis,British QC,http://www.wikidata.org/entity/Q107369515
OL1084157A,"Noble, John",1,Q19076539,"Noble, John (DNB00)",entry in Dictionary of National Biography,http://www.wikidata.org/entity/Q19076539
OL1084157A,"Noble, John",2,Q108579294,"Noble, John","entry in Alumni Oxonienses: the Members of the University of Oxford, 1715-1886",http://www.wikidata.org/entity/Q108579294
OL1084157A,"Noble, John",3,Q108579295,"Noble, John Henry Brunel","entry in Alumni Oxonienses: the Members of the University of Oxford, 1715-1886",http://www.wikidata.org/entity/Q108579295
OL1084157A,"Noble, John",4,Q103873299,"Noble, John Willock (1831-1912), secretary of the interior",encyclopedia article,http://www.wikidata.org/entity/Q103873299
OL1084157A,"Noble, John",5,Q927490,John Willock Noble,American politician (1831–1912),http://www.wikidata.org/entity/Q927490
OL1546981A,James Hunter,1,Q108284778,James Hunter,"British Royal Navy officer, lieutenant in 1815 (1794-?)",http://www.wikidata.org/entity/Q108284778
OL1546981A,James Hunter,2,Q110629692,James Hunter,Represented Essex from 1818 to 1823,http://www.wikidata.org/entity/Q110629692
OL1546981A,James Hunter,3,Q109856731,James Hunter,,http://www.wikidata.org/entity/Q109856731
OL1546981A,James Hunter,4,Q108054893,James Hunter,football player (born 1957),http://www.wikidata.org/entity/Q108054893
OL1546981A,James Hunter,5,Q133269355,James Hunter,,http://www.wikidata.org/entity/Q133269355
OL10259926A,Shahid Kamal,1,Q7461675,Shahid Kamal,Pakistani career diplomat,http://www.wikidata.org/entity/Q7461675
OL10439210A,Pierre Walter,1,Q128819045,Pierre Walter,Person shot in the Mont-Valérien in 1942,http://www.wikidata.org/entity/Q128819045
OL10439210A,Pierre Walter,2,Q133649027,Pierre Walter,,http://www.wikidata.org/entity/Q133649027
OL10439210A,Pierre Walter,3,Q23794945,Waltch,cartoonist,http://www.wikidata.org/entity/Q23794945
OL10439210A,Pierre Walter,4,Q7192489,Pierre Walters,American football player,http://www.wikidata.org/entity/Q7192489
OL10439210A,Pierre Walter,5,Q110049125,Pierre Walter Politz,German theatre director,http://www.wikidata.org/entity/Q110049125
OL8347278A,Mathias Hartmann,1,Q22692218,Mathias Hartmann,,http://www.wikidata.org/entity/Q22692218
OL2695440A,G. Roberts,1,Q1537931,Gordie Roberts,American ice hockey player (born 1957),http://www.wikidata.org/entity/Q1537931
OL2695440A,G. Roberts,2,Q114412171,G. W. Roberts-Borsani,researcher,http://www.wikidata.org/entity/Q114412171
OL2695440A,G. Roberts,3,Q138582881,Gary Robertson,researcher,http://www.wikidata.org/entity/Q138582881
OL216799A,Philip Kotler,1,Q164170,Philip Kotler,"American marketing author, consultant, and professor",http://www.wikidata.org/entity/Q164170
OL216799A,Philip Kotler,2,Q139809105,Philip Kotler: some of my adventures in marketing,,http://www.wikidata.org/entity/Q139809105
OL34717A,Kenneth C. Laudon,1,Q16731279,Kenneth C. Laudon,American academic,http://www.wikidata.org/entity/Q16731279
OL2624937A,Jane P. Laudon,1,Q106329947,Jane Price Laudon,,http://www.wikidata.org/entity/Q106329947
OL2624938A,Jane Price Laudon,1,Q106329947,Jane Price Laudon,,http://www.wikidata.org/entity/Q106329947
OL391962A,Kevin Lane Keller,1,Q6396753,Kevin Lane Keller,American business theorist,http://www.wikidata.org/entity/Q6396753
OL238534A,Gary Dessler,1,Q93386547,Gary Dessler,,http://www.wikidata.org/entity/Q93386547
OL226049A,Jay H. Heizer,1,Q93412593,Jay H. Heizer,,http://www.wikidata.org/entity/Q93412593
OL2648619A,Jay Heizer,1,Q93412593,Jay H. Heizer,,http://www.wikidata.org/entity/Q93412593
OL457089A,Barry Render,1,Q112418918,Barry Render,,http://www.wikidata.org/entity/Q112418918
OL1308528A,George Robert Terry,1,Q38625882,George Robert Terry,American gestor,http://www.wikidata.org/entity/Q38625882
OL2101074A,John le Carré,1,Q209641,John le Carré,British novelist and spy (1931–2020),http://www.wikidata.org/entity/Q209641
OL2101074A,John le Carré,2,Q47512678,John Le Carre,painting by Don Ivan Punchatz,http://www.wikidata.org/entity/Q47512678
OL2101074A,John le Carré,3,Q104413918,John le Carré bibliography,list of works,http://www.wikidata.org/entity/Q104413918
OL2101074A,John le Carré,4,Q21775777,John le Carré: The Biography,2015 book by Adam Sisman,http://www.wikidata.org/entity/Q21775777
OL2101074A,John le Carré,5,Q12126899,A Perfect Spy,1987 TV Mini Series,http://www.wikidata.org/entity/Q12126899
OL2640639A,Alan B. Eisner,1,Q139478718,Alan B. Eisner,,http://www.wikidata.org/entity/Q139478718
OL2986109A,Gerry McNamara,1,Q3761260,Gerry McNamara,American basketball player and coach (born 1983),http://www.wikidata.org/entity/Q3761260
OL2986109A,Gerry McNamara,2,Q5552909,Gerry McNamara,Canadian ice hockey player,http://www.wikidata.org/entity/Q5552909
OL7807029A,Seung-Hyun Lee,1,Q57010537,Seung Hyun Lee,researcher (ORCID 0000-0002-0311-6565),http://www.wikidata.org/entity/Q57010537
OL7807029A,Seung-Hyun Lee,2,Q61142977,Seung-Hyun Lee,researcher ORCID ID = 0000-0001-7549-9430,http://www.wikidata.org/entity/Q61142977
OL7807029A,Seung-Hyun Lee,3,Q109657440,Seung-hyun Lee,South Korean legal scholar and human rights activist,http://www.wikidata.org/entity/Q109657440
OL7807029A,Seung-Hyun Lee,4,Q91790563,Seung Hyun Lee,researcher (ORCID 0000-0002-1109-6787),http://www.wikidata.org/entity/Q91790563
OL7807029A,Seung-Hyun Lee,5,Q88487774,Seung Hyun Lee,researcher (ORCID 0000-0002-4113-5118),http://www.wikidata.org/entity/Q88487774
OL33897A,Stephen P. Robbins,1,Q112386596,Stephen P. Robbins,,http://www.wikidata.org/entity/Q112386596
OL33897A,Stephen P. Robbins,2,Q46249969,Stephen Paul Robbins,American business theorist,http://www.wikidata.org/entity/Q46249969
OL319610A,Andrew S. Grove,1,Q432929,Andrew Grove,"Hungarian-born American businessman, engineer and author (1936–2016)",http://www.wikidata.org/entity/Q432929
OL319610A,Andrew S. Grove,2,Q123589625,Andrew S. Grove Dies at 79; Intel Chief Spurred Semiconductor Revolution,"The New York Times article (March 23, 2016)",http://www.wikidata.org/entity/Q123589625
OL244414A,Eugene F. Brigham,1,Q112383110,Eugene F. Brigham,1930-,http://www.wikidata.org/entity/Q112383110
OL715490A,Michael C. Ehrhardt,1,Q112390984,Michael C. Ehrhardt,1955-,http://www.wikidata.org/entity/Q112390984
OL221453A,R. Wayne Mondy,1,Q7350714,Robert W. Mondy,American historian (1908–1997),http://www.wikidata.org/entity/Q7350714
OL2648916A,Shane R. Premeaux,1,Q134622746,Shane R. Premeaux,management scientist (1954-),http://www.wikidata.org/entity/Q134622746
OL455363A,Ronald Knowles,1,Q112380398,Ronald Knowles,,http://www.wikidata.org/entity/Q112380398
OL544809A,Joseph J. Martocchio,1,Q113481605,Joseph J. Martocchio,American psychologist,http://www.wikidata.org/entity/Q113481605
OL27304A,Thomas L. Wheelen,1,Q112445340,Thomas L. Wheelen,,http://www.wikidata.org/entity/Q112445340
OL29722A,J. David Hunger,1,Q112383715,J. David Hunger,,http://www.wikidata.org/entity/Q112383715
OL450116A,Dennis Lock,1,Q104099076,Dennis Lock,"Danish cyclist, born 2002",http://www.wikidata.org/entity/Q104099076
OL450116A,Dennis Lock,2,Q5258663,Dennis Lock,English cricketer (born 1950),http://www.wikidata.org/entity/Q5258663
OL450116A,Dennis Lock,3,Q112409558,Dennis Lock,,http://www.wikidata.org/entity/Q112409558
OL218836A,Charles T. Horngren,1,Q13583393,Charles Thomas Horngren,American accounting scholar (1926-2011),http://www.wikidata.org/entity/Q13583393
OL223463A,Frederick Winslow Taylor,1,Q203906,Frederick Winslow Taylor,American mechanical engineer (1856–1915),http://www.wikidata.org/entity/Q203906
OL223463A,Frederick Winslow Taylor,2,Q106941794,Frederick Winslow Taylor (1856-1915),scientific article,http://www.wikidata.org/entity/Q106941794
OL223463A,Frederick Winslow Taylor,3,Q129857740,Frederick Winslow Taylor Revisited,scholarly article published in August 1961,http://www.wikidata.org/entity/Q129857740
OL526722A,Paul Hersey,1,Q1474230,Paul Hersey,American academic (1931-2012),http://www.wikidata.org/entity/Q1474230
OL2655496A,Blanchard Hersey,1,Q1859321,situational leadership theory,business model,http://www.wikidata.org/entity/Q1859321
OL392962A,Michael Levy,1,Q103381030,Michael Levy,Ph.D. Rensselaer Polytechnic Institute 2014,http://www.wikidata.org/entity/Q103381030
OL392962A,Michael Levy,2,Q105362915,Michael Levy,Holocaust victim (born 1870),http://www.wikidata.org/entity/Q105362915
OL392962A,Michael Levy,3,Q112475874,Michael Levy,,http://www.wikidata.org/entity/Q112475874
OL392962A,Michael Levy,4,Q60394390,Michael Levy,American neurologist,http://www.wikidata.org/entity/Q60394390
OL392962A,Michael Levy,5,Q89077871,Michael S Levy,researcher,http://www.wikidata.org/entity/Q89077871
OL240891A,Arthur A. Thompson,1,Q112386104,Arthur A. Thompson,,http://www.wikidata.org/entity/Q112386104
OL1080210A,Alonzo J. Strickland,1,Q140330104,Alonzo J. Strickland,,http://www.wikidata.org/entity/Q140330104
OL395336A,A. J. Strickland,1,Q140330104,Alonzo J. Strickland,,http://www.wikidata.org/entity/Q140330104
OL224399A,Lee J. Krajewski,1,Q112420778,Lee J. Krajewski,,http://www.wikidata.org/entity/Q112420778
OL389425A,Gareth R. Jones,1,Q43031731,Gareth R. Jones,researcher,http://www.wikidata.org/entity/Q43031731
OL389425A,Gareth R. Jones,2,Q136309019,Gareth R. Jones,business manager,http://www.wikidata.org/entity/Q136309019
OL226973A,Jennifer M. George,1,Q112487789,Jennifer M. George,,http://www.wikidata.org/entity/Q112487789
OL25513A,David A. Whetten,1,Q19666912,David A. Whetten,American organizational theorist,http://www.wikidata.org/entity/Q19666912
OL226671A,Kim S. Cameron,1,Q16107244,Kim S. Cameron,American academic,http://www.wikidata.org/entity/Q16107244
OL3011780A,Whetten,1,Q37248928,Whetten,family name,http://www.wikidata.org/entity/Q37248928
OL3011780A,Whetten,2,Q33220019,Whetten Ditch,"canal in Dubois County, Indiana, United States of America",http://www.wikidata.org/entity/Q33220019
OL3011780A,Whetten,3,Q67472934,R.L. Whetten,researcher,http://www.wikidata.org/entity/Q67472934
OL5413970A,David A. Whetten,1,Q19666912,David A. Whetten,American organizational theorist,http://www.wikidata.org/entity/Q19666912
OL6519846A,DAVID A. WHETTEN,1,Q19666912,David A. Whetten,American organizational theorist,http://www.wikidata.org/entity/Q19666912
OL2622498A,Kim Cameron,1,Q76294362,Kim Sonia Cameron,(born 1955),http://www.wikidata.org/entity/Q76294362
OL2622498A,Kim Cameron,2,Q6408423,Kim Cameron,American computer scientist,http://www.wikidata.org/entity/Q6408423
OL2622498A,Kim Cameron,3,Q16196393,Kim Cameron,American singer,http://www.wikidata.org/entity/Q16196393
OL2622498A,Kim Cameron,4,Q6408422,Kim Cameron,Wikimedia disambiguation page,http://www.wikidata.org/entity/Q6408422
OL2635200A,Harold Koontz,1,Q16010961,Harold Koontz,American business consultant,http://www.wikidata.org/entity/Q16010961
OL29513A,Project Management Institute,1,Q1545010,Project Management Institute,U.S.-based non-profit corporation,http://www.wikidata.org/entity/Q1545010
OL29513A,Project Management Institute,2,Q139037534,PMI Memphis Chapter,"Project Management Institute chapter serving Memphis, Tennessee and the Mid-South region since 1999",http://www.wikidata.org/entity/Q139037534
OL2634617A,John A. Pearce,1,Q22279613,John A. Pearce,American judge,http://www.wikidata.org/entity/Q22279613
OL5476227A,Michael Levy,1,Q103381030,Michael Levy,Ph.D. Rensselaer Polytechnic Institute 2014,http://www.wikidata.org/entity/Q103381030
OL5476227A,Michael Levy,2,Q105362915,Michael Levy,Holocaust victim (born 1870),http://www.wikidata.org/entity/Q105362915
OL5476227A,Michael Levy,3,Q112475874,Michael Levy,,http://www.wikidata.org/entity/Q112475874
OL5476227A,Michael Levy,4,Q60394390,Michael Levy,American neurologist,http://www.wikidata.org/entity/Q60394390
OL5476227A,Michael Levy,5,Q89077871,Michael S Levy,researcher,http://www.wikidata.org/entity/Q89077871
OL391217A,Barton A. Weitz,1,Q112527136,Barton A. Weitz,,http://www.wikidata.org/entity/Q112527136
OL453548A,Donald J. Bowersox,1,Q112396964,Donald J. Bowersox,,http://www.wikidata.org/entity/Q112396964
OL223174A,Spencer Johnson,1,Q108054924,Spencer Johnson,football player (born 1988),http://www.wikidata.org/entity/Q108054924
OL223174A,Spencer Johnson,2,Q200760,Patrick Spencer Johnson,American writer,http://www.wikidata.org/entity/Q200760
OL223174A,Spencer Johnson,3,Q42289499,Spencer Johnson,cricketer,http://www.wikidata.org/entity/Q42289499
OL223174A,Spencer Johnson,4,Q7576097,Spencer Johnson,Wikimedia disambiguation page,http://www.wikidata.org/entity/Q7576097
OL223174A,Spencer Johnson,5,Q7576096,Spencer Johnson,American football player,http://www.wikidata.org/entity/Q7576096
OL392669A,Robert D. Hisrich,1,Q112446160,Robert D. Hisrich,,http://www.wikidata.org/entity/Q112446160
OL383803A,James C. Van Horne,1,Q29524967,James C. Van Horne,American economist,http://www.wikidata.org/entity/Q29524967
OL383803A,James C. Van Horne,2,Q92304423,James C. Van Horne Professorship,endowed academic position at Stanford University,http://www.wikidata.org/entity/Q92304423
OL26542A,James A. O'Brien,1,Q112400512,James A. O'Brien,,http://www.wikidata.org/entity/Q112400512
OL26542A,James A. O'Brien,2,Q105338343,"James Anthony O'Brien, Jr","politician in Massachusetts, US (born 1919)",http://www.wikidata.org/entity/Q105338343
OL26542A,James A. O'Brien,3,Q105553327,James Anthony O'Brien,"politician in Massachusetts, US (born 1886)",http://www.wikidata.org/entity/Q105553327
OL26542A,James A. O'Brien,4,Q94506629,James A. O'Brien,,http://www.wikidata.org/entity/Q94506629
OL398560A,Barry Berman,1,Q95785077,Barry Berman,screenwriter,http://www.wikidata.org/entity/Q95785077
OL398560A,Barry Berman,2,Q809007,Barry Bermange,British author,http://www.wikidata.org/entity/Q809007
OL398560A,Barry Berman,3,Q95785094,Barry Bermange,screenwriter,http://www.wikidata.org/entity/Q95785094
OL30298A,Jerrold S. Greenberg,1,Q112516443,Jerrold S. Greenberg,,http://www.wikidata.org/entity/Q112516443
OL10856242A,Cyril O'Donnell,1,Q5200774,Cyril J. O'Donnell,American professor,http://www.wikidata.org/entity/Q5200774
OL8088432A,Mairead Brady,1,Q139446636,Mairead Brady,,http://www.wikidata.org/entity/Q139446636
OL2946043A,Torben Hansen,1,Q29583803,Torben Hansen,Danish professor,http://www.wikidata.org/entity/Q29583803
OL2946043A,Torben Hansen,2,Q12006907,Torben Hansen,Danish politician,http://www.wikidata.org/entity/Q12006907
OL2946043A,Torben Hansen,3,Q111722816,Torben Hansen,Danish mayor in Køge,http://www.wikidata.org/entity/Q111722816
OL2946043A,Torben Hansen,4,Q65965218,Torben Hansen,badminton player,http://www.wikidata.org/entity/Q65965218
OL2946043A,Torben Hansen,5,Q111709349,Torben Hansen,Danish mayor,http://www.wikidata.org/entity/Q111709349
OL1519807A,William Cron,1,Q8007305,William Cronon,American historian,http://www.wikidata.org/entity/Q8007305
OL1519807A,William Cron,2,Q75737651,William Crone,(born 1736),http://www.wikidata.org/entity/Q75737651
OL1519807A,William Cron,3,Q75737909,William Frederick Crone,(born 1915),http://www.wikidata.org/entity/Q75737909
OL1519807A,William Cron,4,Q105837698,William N. Cronin,"politician in Massachusetts, US",http://www.wikidata.org/entity/Q105837698
OL1519807A,William Cron,5,Q75743372,William Crone,(1687-1715),http://www.wikidata.org/entity/Q75743372
OL224314A,Charles W. L. Hill,1,Q23303093,Charles W.L. Hill,British-born academic,http://www.wikidata.org/entity/Q23303093
OL562491A,Thomas R. Hoffmann,1,Q131865202,Thomas R. Hoffmann,,http://www.wikidata.org/entity/Q131865202
OL1193951A,Aaron Antonovsky,1,Q301653,Aaron Antonovsky,Israeli American sociologist,http://www.wikidata.org/entity/Q301653
OL1193951A,Aaron Antonovsky,2,Q95529921,"Aaron Antonovsky’s Development of Salutogenesis, 1979 to 1994",,http://www.wikidata.org/entity/Q95529921
OL1193951A,Aaron Antonovsky,3,Q95529906,"Aaron Antonovsky, the Scholar and the Man Behind Salutogenesis",,http://www.wikidata.org/entity/Q95529906
OL1193951A,Aaron Antonovsky,4,Q48869978,Aaron Antonovsky: editor and idealist.,scientific article published on 01 March 1996,http://www.wikidata.org/entity/Q48869978
OL5686405A,Michael Armstrong,1,Q14946817,Michael Armstrong,British politician (1924-1982),http://www.wikidata.org/entity/Q14946817
OL5686405A,Michael Armstrong,2,Q6828266,Michael Armstrong,British writer and director,http://www.wikidata.org/entity/Q6828266
OL5686405A,Michael Armstrong,3,Q106082173,Michael Armstrong,British politician,http://www.wikidata.org/entity/Q106082173
OL5686405A,Michael Armstrong,4,Q112352177,Michael Armstrong,British economist (1928-),http://www.wikidata.org/entity/Q112352177
OL5686405A,Michael Armstrong,5,Q80553023,Michael Armstrong,US newspaperman and author (1956- ),http://www.wikidata.org/entity/Q80553023
OL4727974A,Mick Marchington,1,Q112429200,Mick Marchington,,http://www.wikidata.org/entity/Q112429200
OL2694332A,Adrian Wilkinson,1,Q112427096,Adrian Wilkinson,,http://www.wikidata.org/entity/Q112427096
OL2694332A,Adrian Wilkinson,2,Q56929027,Adrian Wilkinson,researcher,http://www.wikidata.org/entity/Q56929027
OL2694332A,Adrian Wilkinson,3,Q19595687,Adrian Wilkinson,Irish priest,http://www.wikidata.org/entity/Q19595687
OL8266107A,Evangelia Marinakou,1,Q132158377,Evangelia Marinakou,,http://www.wikidata.org/entity/Q132158377
OL3134337A,Yvonne Byron,1,Q133018221,Yvonne Byron,,http://www.wikidata.org/entity/Q133018221
OL2800692A,Gary Rees,1,Q3098605,Gary Rees,English rugby union footballer and coach,http://www.wikidata.org/entity/Q3098605
OL2800692A,Gary Rees,2,Q136708096,Gary Reese,Virginia politician (born 1945),http://www.wikidata.org/entity/Q136708096
OL2800692A,Gary Rees,3,Q112484190,Professor Gary Rees,Psychologist and author,http://www.wikidata.org/entity/Q112484190
OL8077721A,Raymond French,1,Q76275890,Raymond William French,(died 1937),http://www.wikidata.org/entity/Q76275890
OL2657848A,David Rees,1,Q96195509,David Rees,Spanish singer,http://www.wikidata.org/entity/Q96195509
OL2657848A,David Rees,2,Q105218317,David Rees,"QC 2017; a Recorder, since 2012; a Deputy High Court Judge, since 2018",http://www.wikidata.org/entity/Q105218317
