book_id,canonical_title,authors,observed_edition_count,earliest_observed_year,latest_observed_year,known_publication_languages_display,known_publication_language_count,multilingual_publication_evidence,observed_publication_countries,observed_publication_country_count,observed_publication_places,observed_publication_place_count,observed_publisher_count,observed_isbn_13_count,observed_format_count,minimum_observed_pages,maximum_observed_pages,known_publication_language_codes,observed_publishers,observed_isbn_10,observed_isbn_10_count,observed_isbn_13,observed_physical_formats,known_publication_languages,first_publish_year,earliest_vs_first_difference,year_discrepancy_flag
BOOK00241,Seven pillars of servant leadership,['James W. Sipe'],1,2009,2009,English,1,False,['nyu'],1,['New York'],1,1,1,0,,,['eng'],['Paulist Press'],[],0,['9780809145607'],[],['English'],2009.0,0.0,False
BOOK00242,Servant leadership,['Jack Schaap'],1,2008,2008,English,1,False,['inu'],1,"['Hammond, IN']",1,1,1,0,192,192,['eng'],['Hyles Publications'],['0980059445'],1,['9780980059441'],[],['English'],2008.0,0.0,False
BOOK00243,Reflections on leadership,['Larry C. Spears'],1,1995,1995,English,1,False,['nyu'],1,['New York'],1,1,0,0,352,352,['eng'],['J. Wiley'],['0471036862'],1,[],[],['English'],1995.0,0.0,False
BOOK00244,Strength in servant leadership,['Paul A. Cedar'],1,1987,1987,English,1,False,['txu'],1,"['Waco, Tex']",1,1,0,0,173,173,['eng'],['Word Books'],"['0849930863', '0849905303']",2,[],[],['English'],1987.0,0.0,False
BOOK00245,Servant leadership,[],1,1977,1977,,0,False,[],0,[],0,1,1,1,,,[],['Paulist Press'],['080910220X'],1,['9780809102204'],['Hardcover'],[],1977.0,0.0,False
BOOK00246,Servant leadership,['Dirk van Dierendonck'],1,2010,2010,English,1,False,['enk'],1,"['Houndmills, Basingstoke, Hampshire', 'New York']",2,1,1,0,219,219,['eng'],['Palgrave Macmillan'],[],0,['9780230238268'],[],['English'],2010.0,0.0,False
BOOK00247,Handbook for secular Franciscan servant leadership,[],1,1998,1998,English,1,False,['ksu'],1,"['[Kirksville, MO']",1,1,0,0,,,['eng'],['National Fraternity of the Secular Franciscan Order-USA]'],[],0,[],[],['English'],1998.0,0.0,False
BOOK00248,Focus on Leadership,"['Larry C. Spears', 'Michele Lawrence', 'Ken Blanchard']",3,2001,2007,English,1,False,[],0,[],0,2,3,1,416,416,['eng'],"['Wiley & Sons, Incorporated, John', 'Wiley']",['0471411620'],1,"['9781280341533', '9780470193075', '9780471411628']",['Hardcover'],['English'],2001.0,0.0,False
BOOK00249,Servant Leadership in Action,"['Ken Blanchard', 'Renee Broadwell']",2,2018,2018,,0,False,[],0,[],0,2,2,2,288,614,[],"['ReadHowYouWant', 'Berrett-Koehler Publishers']","['0369315421', '152309396X']",2,"['9780369315427', '9781523093960']","['paperback', 'hardcover']",[],2018.0,0.0,False
BOOK00250,Servant Leadership,"['Michael Rucker', 'Holly Spence']",1,2019,2019,English,1,False,[],0,[],0,1,1,0,,,['eng'],['Independently Published'],[],0,['9781691541515'],[],['English'],2019.0,0.0,False
BOOK00251,Servant leadership,['Jane Fryar'],1,2001,2001,English,1,False,['mou'],1,"['St. Louis, MO']",1,1,0,0,109,109,['eng'],['Concordia Pub. House'],[],0,[],[],['English'],2001.0,0.0,False
BOOK00252,Servant leadership,['Rocky Wallace'],1,2011,2011,English,1,False,['mdu'],1,"['Lanham, Md']",1,1,3,0,116,116,['eng'],['Rowman & Littlefield Education'],[],0,"['9781610486347', '9781610486354', '9781610486361']",[],['English'],2011.0,0.0,False
BOOK00253,Applying Servant Leadership in Today's Schools,['Mary Culver'],6,2008,2017,English,1,False,[],0,[],0,1,6,0,144,144,['eng'],['Taylor & Francis Group'],[],0,"['9781317930280', '9781317930273', '9781317930297', '9781315856308', '9781138472617', '9781614420217']",[],['English'],2008.0,0.0,False
BOOK00254,Servant Leadership for Slow Learners,['J. David Lundy'],1,2002,2002,English,1,False,[],0,[],0,1,1,1,242,242,['eng'],['Paternoster Pub'],['1850784426'],1,['9781850784425'],['Paperback'],['English'],2002.0,0.0,False
BOOK00255,Robert K. Greenleaf,['Don M Frick'],1,2004,2004,English,1,False,[],0,[],0,1,1,1,432,432,['eng'],['Berrett-Koehler Publishers'],['1576752763'],1,['9781576752760'],['Hardcover'],['English'],2004.0,0.0,False
BOOK00256,The Servant Leadership Training Course,['James C. Hunter'],1,2006,2006,English,1,False,[],0,[],0,1,1,1,,,['eng'],['Sounds True'],['1591794765'],1,['9781591794769'],['Audio CD'],['English'],2006.0,0.0,False
BOOK00257,The Model of Servant-Leadership,['Henry P. Hildebrand'],2,1990,1990,English,1,False,[],0,[],0,2,1,1,,,['eng'],"['Welch Publishing', 'Welch Publishing Company Inc.']",['1550111760'],1,['9781550111767'],['Paperback'],['English'],1990.0,0.0,False
BOOK00258,Cases on Servant Leadership and Equity,['Ursula Thomas'],5,2022,2022,English,1,False,[],0,[],0,1,5,0,,,['eng'],['IGI Global'],[],0,"['9781668458136', '9781668458143', '9781668458150', '9781668458167', '9781668458129']",[],['English'],2022.0,0.0,False
BOOK00259,Leader As Servant Leadership Model,['Sylvanus Wosu'],2,2022,2022,English,1,False,[],0,[],0,1,2,0,,,['eng'],['Proisle Publishing.com'],[],0,"['9781959449980', '9798986510064']",[],['English'],2022.0,0.0,False
BOOK00260,Servant Leadership,"['Stevens, David']",1,2017,2017,English,1,False,[],0,[],0,1,1,0,,,['eng'],['Christian Medical & Dental Associations'],[],0,['9780989759878'],[],['English'],2017.0,0.0,False
BOOK00261,Global Servant-Leadership,"['Philip Mathew', 'Jiying Song', 'Shann Ray Ferch']",2,2020,2022,English,1,False,[],0,[],0,1,2,0,,,['eng'],"['Rowman & Littlefield Publishers, Incorporated']",[],0,"['9781793621887', '9781793621863']",[],['English'],2020.0,0.0,False
BOOK00262,Servant leadership in nursing,"[""Mary Elizabeth O'Brien""]",2,2010,2010,English,1,False,['mau'],1,"['Sudbury, MA']",1,3,2,0,355,356,['eng'],"['Jones & Bartlett Learning, LLC', 'Jones and Bartlett', 'Jones and Bartlett Publishers']",[],0,"['9781449611002', '9780763774851']",[],['English'],2010.0,0.0,False
BOOK00263,Servant Leadership,"['Ralph Lewis', 'Noble, John']",1,2008,2008,English,1,False,['enk'],1,"['Gloucestershire, UK']",1,1,1,0,213,213,['eng'],['Management Books 2000 Ltd'],['1852525711'],1,['9781852525712'],[],['English'],2008.0,0.0,False
BOOK00264,Servant Leadership Roadmap,['Cara H Bramlett'],1,2018,2018,,0,False,[],0,[],0,1,1,1,124,124,[],['CreateSpace Independent Publishing Platform'],['1982058684'],1,['9781982058685'],['paperback'],[],2018.0,0.0,False
BOOK00265,Using Servant Leadership,['Angelo J. Letizia'],4,2018,2018,English,1,False,[],0,[],0,1,4,2,200,200,['eng'],['Rutgers University Press'],"['0813587344', '0813587352']",2,"['9780813587363', '9780813587370', '9780813587349', '9780813587356']","['paperback', 'hardcover']",['English'],2018.0,0.0,False
BOOK00266,Servant Leadership,['Pastor Cecil Hollaway'],2,2022,2022,English,1,False,[],0,[],0,1,2,0,,,['eng'],"['Trilogy Christian Publishing, Inc.']",[],0,"['9798887386126', '9798887386119']",[],['English'],2022.0,0.0,False
BOOK00267,The servant,"['James C. Hunter', 'James Hunter']",4,1998,2008,English,1,False,"['nyu', 'cau']",2,"['New York', 'Rocklin, Calif']",2,3,3,2,187,208,['eng'],"['Crown Publishing Group', 'Prima Pub.', 'Crown Business']","['9576679400', '0761513698']",2,"['9789576679407', '9780307453563', '9780761513698']","['E-book', 'Hardcover']",['English'],1998.0,0.0,False
BOOK00268,A Woman's Guide to Servant Leadership,['Rhonda Kelley'],1,2002,2002,English,1,False,[],0,[],0,1,1,1,112,112,['eng'],['New Hope Publishers (AL)'],['1563094347'],1,['9781563094347'],['Paperback'],['English'],2002.0,0.0,False
BOOK00269,Servant Leadership for Higher Education,['Daniel W. Wheeler'],3,2011,2011,English,1,False,[],0,[],0,1,3,0,208,208,['eng'],"['Wiley & Sons, Incorporated, John']",[],0,"['9781118181386', '9781118181379', '9781118181362']",[],['English'],2011.0,0.0,False
BOOK00270,Principal to Principal,['Rocky Wallace'],5,2008,2023,English,1,False,[],0,[],0,2,5,1,108,124,['eng'],"['Rowman & Littlefield Publishers, Incorporated', 'Rowman & Littlefield Education']",['1578867606'],1,"['9781475872057', '9781475872040', '9781475872064', '9781578867592', '9781578867608']",['Paperback'],['English'],2008.0,0.0,False
BOOK00271,Servant Leadership,['Samuel O. Enyia'],2,2021,2021,English,1,False,[],0,[],0,1,2,0,,,['eng'],['PageTurner: Press & Media'],[],0,"['9781638716945', '9781638716952']",[],['English'],2021.0,0.0,False
BOOK00272,Personal and Organizational Excellence Through Servant Leadership,['Sen Sendjaya'],3,2015,2016,English,1,False,[],0,[],0,2,3,0,,,['eng'],"['Springer', 'Springer International Publishing AG']",[],0,"['9783319161969', '9783319161952', '9783319382159']",[],['English'],2015.0,0.0,False
BOOK00273,Understanding Servant Leadership,['Chad Audi'],1,2017,2017,English,1,False,[],0,[],0,1,1,0,72,72,['eng'],['CreateSpace Independent Publishing Platform'],[],0,['9781544600390'],[],['English'],2017.0,0.0,False
BOOK00274,Servant Leadership Styles and Strategic Decision Making,"['Yasir Hayat Mughal', 'Shahid Kamal']",4,2018,2018,English,1,False,[],0,[],0,1,4,0,305,305,['eng'],['IGI Global'],[],0,"['9781522549987', '9781522562382', '9781522587248', '9781522549963']",[],['English'],2018.0,0.0,False
BOOK00275,The spirit of servant-leadership,['Robert K. Greenleaf Center. International Conference on Servant-Leadership'],1,2011,2011,English,1,False,['nyu'],1,['New York'],1,1,1,0,,,['eng'],['Paulist Press'],[],0,['9780809105946'],[],['English'],2011.0,0.0,False
BOOK00276,Idiot Guide to Servant Leadership,['Pierre Walter'],1,2010,2010,English,1,False,[],0,[],0,1,1,0,460,460,['eng'],['CreateSpace Independent Publishing Platform'],[],0,['9781453765890'],[],['English'],2010.0,0.0,False
BOOK00277,Servant Leadership in diakonischen Unternehmen,['Mathias Hartmann'],2,2013,2013,German,1,False,['gw'],1,['Stuttgart'],1,2,2,0,221,221,['ger'],"['Kohlhammer Verlag', 'Verlag W. Kohlhammer']",[],0,"['9783170264106', '9783170229594']",[],['German'],2013.0,0.0,False
BOOK00278,Servant Leadership,['John Wallace Whitehead'],2,2019,2019,English,1,False,[],0,[],0,1,2,0,,,['eng'],"['Outskirts Press, Incorporated']",[],0,"['9781977213136', '9781977211989']",[],['English'],2019.0,0.0,False
BOOK00279,Developing Christian Servant Leadership,['G. Roberts'],3,2015,2015,English,1,False,[],0,[],0,2,3,2,245,245,['eng'],"['Palgrave Macmillan Limited', 'Palgrave Macmillan']","['1137489634', '1349504246']",2,"['9781137492456', '9781137489630', '9781349504244']","['hardcover', 'paperback']",['English'],2015.0,0.0,False
BOOK00280,Paul on leadership,['C. Gene Wilkes'],2,2004,2004,English,1,False,['miu'],1,"['Nashville, TN']",1,1,1,0,160,160,['eng'],['LifeWay Press'],['0633195316'],1,['9780633195311'],[],['English'],2004.0,0.0,False
BOOK00281,Marketing management,['Philip Kotler'],66,1973,2016,"English, French, German, Chinese, Norwegian",5,True,"['si', 'fr', 'xxk', 'gw', 'nju', 'onc', 'enk', 'xxc', 'xxu', 'ii', 'cc']",11,"['Singapore', 'New York', 'Paris', 'Englewood Cliffs', 'London (etc.)', 'Stuttgart', '[Upper Saddle River, N.J.]', '[London]', 'Scarborough, Ont', 'Englewood Cliffs, N.J', 'Englewood Cliffs, NJ', 'Upper Saddle River, NJ', 'Upper Saddle River, N.J', 'London', 'Toronto', 'Scarborough (Ontario)', 'Stuttgart,Germany', 'New Delhi']",18,27,15,3,76,1321,"['eng', 'fre', 'ger', 'chi', 'nor']","['2016', 'keller', 'Prentice Hall', 'Publi-Union', 'Prentice-Hall', 'C.E. Poeschel Verlag', 'Pearson Education International', 'Longman Higher Education', 'Prentice Hall Canada', 'Prentice Hall (Higher Education Division, Pearson Education)', 'Not Avail', 'Pearson College Div', 'Publi-Union Éditions', 'Prentice Hall International (UK)', 'Pearson Education', 'Pearson Prentice Hall', 'Prentice-Hall of Canada', 'Prentice-Hall International', 'Prentice-Hall Canada', 'Schaffer', 'Prentice Hall of India', 'C.E. Poeschel', 'Publi Union', 'Pearson Custom Pub', 'Pearson/Prentice Hall', 'China Renmin University Press', 'Prentice Hall College Div']","['0131066250', '0131001353', '2857900090', '0135574544', '0135634792', '2857900929', '0135580242', '3791003372', '0130497150', '0135562678', '0136034322', '0131257250', '0132703807', '0135579279', '0130122173', '0135561507', '0132435101', '0135580072', '0130739537', '0135524806', '2857901127', '0130156841', '0135586852', '2852000024', '0135579759', '0137228511', '0135579597', '2857900759', '0130336297', '2857900139', '0130144290', '0135580579', '3791013106', '8120316096', '3791005049', '2857900392', '0135580498', '0536622256', '013039713X', '7300037461', '0139149465', '0132435284', '0135796652']",43,"['9780131066250', '9780135634790', '9780135580240', '9780135562673', '9780132703802', '9780130122179', '9780130739537', '9780135524800', '9780131001350', '9780136009986', '9780135561508', '9780536622259', '9780139149467', '9780132435284', '9780135796658']","['Hardcover', 'Paperback', 'Unknown Binding']","['English', 'French', 'German', 'Chinese', 'Norwegian']",1973.0,0.0,False
BOOK00282,Management information systems,"['Kenneth C. Laudon', 'Jane P. Laudon', 'Jane Price Laudon', 'Jane Laudon']",95,1945,2021,"English, Indonesian",2,True,"['onc', 'nju', 'xxu', 'mau', 'enk', 'nyu']",6,"['Boston, USA', 'Toronto', 'Upper Saddle River, NJ', 'Upper Saddle River', '[New York]', 'Boston', 'Oxford', 'New York', 'Upper Saddle River, N.J', 'Upper Saddle River,N.J', 'London']",11,25,68,7,1,99998,"['eng', 'ind']","['Pearson', 'Pearson Education', 'Pearson Canada', 'Pearson Education, Limited', 'Prentice Hall College Div', 'Pearson Prentice Hall', 'Pearson Custom Publishing', 'Prentice Hall', 'Pearson Education Canada', 'Pearson/Education', 'Prentice Hall PTR', 'Pearson/Prentice Hall', 'Azimuth', 'Maxwell Macmillan International', 'Prentice Hall India', 'managing the digital firm', 'Pearson Higher Education & Professional Group', 'Macmillan Pub Co', 'Macmillan Pub. Co.', 'Collier Macmillan Canada', 'Prentice Hall International', 'Prentice-Hall', 'Prentice-Hall Inc', 'Macmillan', 'Collier Macmillan']","['0133156842', '0131226843', '0131014994', '1292094001', '0131579843', '0131538411', '0134639715', '0536674965', '0131598430', '0130663557', '0132337746', '0131694553', '013071108X', '027375453X', '0133898318', '013609368X', '0135191793', '0132574799', '0133898164', '0132304619', '013389830X', '0136078877', '0135409098', '0135409047', '0135078857', '013607846X', '0131409166', '0130117323', '0131973886', '0131538446', '0132142856', '0029463645', '0131206818', '8120329082', '0138577234', '0131014986', '0130330663', '0023681217', '0023681012', '002439128X', '013055197X', '0131213520', '0139064621', '0132328852', '0130619604', '0023681004', '013213778X', '0130783927']",48,"['9780133156843', '9780135205563', '9780133974522', '9780133058574', '9780133826135', '9780131226845', '9780131014992', '9781292094007', '9780131579842', '9780131538412', '9780134639710', '9780536674968', '9781292128153', '9780134744162', '9780131598430', '9780133898187', '9781292403694', '9781292403281', '9781292296715', '9780130663559', '9780132337748', '9780132478083', '9780132576581', '9780133050691', '9780273790358', '9780134058474', '9781292296562', '9780131694552', '9780132415798', '9780130711083', '9780131971929', '9780273754534', '9780133898316', '9780135191927', '9780136094678', '9780273754596', '9780136093688', '9780135191798', '9780132574792', '9780133898163', '9780133130782', '9780134684857', '9780134745992', '9780130156822', '9780132304610', '9780133898309', '9780134639840', '9780136078876', '9780135409091', '9780135409046', '9780135078853', '9780136078463', '9780131409163', '9780130117328', '9780131538443', '9780132142854', '9780131206816', '9788120329089', '9780273779803', '9781292211756', '9780138577230', '9780131014985', '9780130330666', '9780023681219', '9780023681011', '9780130551979', '9780130619600', '9780130783929']","['hardcover', 'paperback', 'Hardcover', 'Paperback', 'digital', 'loose leaf', '[Recurs electro  nic] :']","['English', 'Indonesian']",1945.0,0.0,False
BOOK00283,Marketing Management,"['Philip Kotler', 'Kevin Lane Keller']",1,2016,2016,English,1,False,[],0,[],0,1,1,0,,,['eng'],['Pearson Education'],[],0,['9781292092621'],[],['English'],2016.0,0.0,False
BOOK00284,Human Resource management,['Gary Dessler'],6,1994,2016,English,1,False,"['enk', 'xxu']",2,"['Englewood Cliffs, N.J', 'London', 'Upper Saddle River, N.J']",3,3,4,2,715,721,['eng'],"['Pearson', 'Prentice Hall', 'Prentice-Hall International']","['0134237528', '0133525945', '0134237269', '0134235452', '0136589073', '0132343525']",6,"['9780134237527', '9780133525946', '9780134237268', '9780134235455']","['digital', 'hardcover']",['English'],1994.0,0.0,False
BOOK00285,Operations management,"['Jay H. Heizer', 'Jay Heizer', 'Barry Render']",23,1999,2019,English,1,False,['nju'],1,"['Upper Saddle River, N.J', 'Upper Saddle River, NJ']",2,9,16,5,56,912,['eng'],"['oxford university press', 'Pearson Education, Limited', 'Pearson Education Canada', 'Prentice Hall PTR', 'Pearson Higher Education & Professional Group', 'Pearson', 'Pearson Prentice Hall', 'Prentice Hall', 'Pearson/Prentice Hall']","['0134163451', '0132921146', '0132342715', '0132412896', '0138128782', '0138134545', '0131585592', '013185755X', '0130082732', '0136025676', '0136119417', '013905068X', '0132370603', '0131016121', '0131209744', '0131422723', '013018604X']",17,"['9780136120902', '9780135233924', '9780134838076', '9780132931250', '9781292295039', '9780134163451', '9780132921145', '9780132342711', '9780132412896', '9780138128784', '9780138134549', '9780131585591', '9780131857551', '9780130082732', '9780136025672', '9780136119418']","['paperback', 'digital', 'hardcover', 'Hardcover', 'Paperback']",['English'],1999.0,0.0,False
BOOK00286,Principles of management,['George Robert Terry'],16,1953,1982,English,1,False,"['ilu', 'xx']",2,"['Homewood, Ill']",1,3,0,0,614,822,['eng'],"['R.D. Irwin', 'Richard D. Irwin', 'R. D. Irwin']","['0256018766', '0256026408']",2,[],[],['English'],1953.0,0.0,False
BOOK00287,Strategic management,['Fred R. David'],25,1969,2009,English,1,False,"['ohu', 'nju', 'enk', 'nyu', 'xxk', 'xxu']",6,"['Columbus', 'Englewood Cliffs, N.J', 'Upper Saddler River, NJ', 'Upper Saddle River, N.J', 'London', 'New York', 'Toronto', 'Upper Saddle River', 'Upper Saddle River, NJ', 'Upper Saddle River,NJ', 'Upper Saddler River, N.J']",11,11,5,3,234,1088,['eng'],"['Prentice Hall', 'Merrill Pub. Co.', 'Prentice Hall International', 'Merrill', 'Collier Macmillan Canada', 'Maxwell Macmillan International', 'Pearson Education', 'Macmillan', 'Maxwell Macmillan Canada', 'Pearson Prentice Hall', 'Pearson/Prentice Hall']","['0023278617', '0675209382', '0130807834', '0130663425', '0130497959', '0136067247', '067521386X', '0131276751', '0136015700', '0131503464', '0130879029', '0023278412', '0130807850', '0131503472', '0130497940', '0131202359', '013486011X', '0131869558', '0130479128', '0130807842', '0130879037']",21,"['9780023278617', '9780130497956', '9780136015703', '9780130879028', '9780130479129']","['Textbook Binding', 'Paperback', 'Hardcover']",['English'],1969.0,0.0,False
BOOK00288,Statistics for management,['Richard I. Levin & David S. Rubin'],12,1978,1998,English,1,False,"['nju', 'enk']",2,"['Englewood Cliffs, N.J', 'Upper Saddle River, N.J', 'Hemel Hempstead']",3,2,2,1,356,1026,['eng'],"['Prentice-Hall', 'Prentice Hall']","['0138453055', '0134762924', '0138452806', '0138519730', '0138452555', '0138453489', '013851965X', '0138477817', '0070965129', '812031235X', '0138452482']",11,"['9780138519735', '9780138519650']",['Hardcover'],['English'],1978.0,0.0,False
BOOK00289,The Night Manager,['John le Carré'],39,1993,2020,"English, Chinese, German",3,True,"['enk', 'nyu', 'ch', 'onc', 'gw']",5,"['New York, USA', 'New York', 'Taibei Xian Xindian Shi', 'Toronto', 'Anstey, Leicestershire', 'London', 'München']",7,26,31,8,300,751,"['eng', 'chi', 'ger']","['Ullstein Taschenbuchvlg.', 'Heyne', 'Kiepenheuer & Witsch', 'Hodder & Stoughton', 'Penguin Books, Limited', 'Leatherbound Bestsellers', 'Bolinda audio', 'Hodder & Stoughton General Division', 'Ballantine Books', 'Trafalgar Square', 'Books On Tape', 'Random House Value Publishing', 'Random House Audio', 'Books on Tape, Inc.', 'Sceptre', 'Chivers Audio Books', 'Century Hutchinson (A Division of Random House Group)', 'Knopf', 'Alfred A. Knopf, Inc.', 'Published by Random House Large Print in association with Knopf', 'Mu ma wen hua shi ye gu fen you xian gong si', 'fa xing Yuan zu wen hua shi ye gu fen you xian gong si', 'Viking', 'Thorpe', 'Coronet Books', 'Wilhelm Heyne']","['3548288626', '345308201X', '3462022776', '1489358676', '0340937688', '0241247527', '0241291259', '1524796956', '0399594000', '0345418301', '0340600888', '5552758609', '0345385764', '0517137631', '0517396165', '067942508X', '0736627898', '5557103368', '0340766522', '0754053598', '1858918960', '0340597658', '0340592818', '0345480325', '0745143539', '0679425136', '0679747281', '9867475534', '0670851191', '0708988148']",30,"['9783548288628', '9783453082014', '9783462022773', '9781844569144', '9780241294192', '9781627153928', '9780141393018', '9781489358677', '9780241337219', '9780340937686', '9780241247525', '9780241291252', '9781524796952', '9780399594007', '9780345418302', '9780340600887', '9785552758609', '9780345385765', '9780517137635', '9780517396162', '9780679425083', '9780736627894', '9785557103367', '9780340766521', '9780754053590', '9781858918969', '9780340597651', '9780340592816', '9780345480323', '9780745143538', '9789867475534']","['paperback', 'Paperback', 'Hardcover', 'audio cd', 'Audio Cassette', 'Mass Market Paperback', 'Audio cassette', 'Audio CD']","['English', 'Chinese', 'German']",1993.0,0.0,False
BOOK00290,Strategic management,"['Gregory G. Dess', 'G. T. Lumpkin', 'Alan B. Eisner', 'Gerry McNamara', 'Seung-Hyun Lee', 'Marilyn L. Taylor']",55,1992,2024,English,1,False,"['mau', 'onc', 'xxu', 'nyu']",4,"['Boston', 'Boston, Mass', 'Toronto', 'New York', 'London', 'New York, NY']",6,10,43,6,432,984,['eng'],"['McGraw-Hill Education', 'McGraw-Hill Ryerson', 'Irwin/McGraw-Hill', 'MC GRAW HILL INDIA', 'McGraw-Hill Irwin', 'McGraw-Hill Ryerson Higher Education', 'McGraw-Hill/Irwin', 'McGraw Hill', 'McGraw-Hill', 'McGraw Hill Higher Education']","['1266006885', '007287290X', '0077636155', '007131704X', '0077246268', '007111114X', '1259813959', '1259900452', '0070979979', '1260075087', '1259196550', '1259209040', '1260706621', '1259899977', '1260706664', '1266002278', '0071317686', '0070401810', '0072843829', '0073124575', '0073381217', '0073102466', '0072509171', '0071151060', '0070922918', '0073530417', '0071125949', '0070165696', '0072952423', '0072849150', '0073404985', '0077636082', '007786252X', '0070165718', '007016570X', '0077161092', '1259255875', '0077439562']",38,"['9781266006883', '9780072872903', '9780077636159', '9780071317047', '9780077246266', '9780071111140', '9781259813955', '9781259900457', '9780070979970', '9781259275845', '9781260075083', '9781259196553', '9781259209048', '9781260706628', '9781259899973', '9781259900525', '9781260706666', '9781260706581', '9781266002274', '9781266011832', '9780071317689', '9780070401815', '9780072843828', '9780073124575', '9780073381213', '9780073102467', '9780073530413', '9780072952421', '9780072849158', '9780073404981', '9780071151061', '9780072509175', '9781259303500', '9781259024993', '9780077636081', '9780077862527', '9780070165717', '9780070165700', '9781259278211', '9780077161095', '9781259921322', '9781259255878', '9780077439569']","['Hardcover', 'paperback', 'Paperback', 'hardcover', 'printed access code', 'loose leaf']",['English'],1992.0,0.0,False
BOOK00291,Management,['Stephen P. Robbins'],28,1984,2008,English,1,False,"['xxk', 'nju', 'xxu', 'enk']",4,"['Englewood Cliffs, N.J', 'Upper Saddle River, N.J', 'Englewood Cliffs (N.J.)', 'Scarborough, Ont', 'Inglewood Cliffs, NJ', 'London', 'Upper Saddle River, NJ']",7,10,8,2,133,852,['eng'],"['Pearson', 'Prentice-Hall', 'Prentice Hall', 'Prentice-Hall International', 'Prentice Hall College Div', 'Prentice-Hall Int', 'Pearson/Prentice-Hall', 'Pearson Prentice Hall', 'Prentice-Hall Canada', 'Longman Higher Education']","['0135511445', '013556655X', '0131410814', '0132257734', '0130319651', '0135514177', '0132279924', '0139215034', '0131439944', '0135526965', '0130663662', '0131272721', '0132328771', '0135480655', '0132090716', '0130619205', '0130976350', '0134865561', '0131306693', '0135490723', '0135489598']",21,"['9780131410817', '9780130319654', '9780131439948', '9780132090711', '9780131306691', '9780135490723', '9780135514177', '9780135489598']","['Hardcover', 'Paperback']",['English'],1984.0,0.0,False
BOOK00292,High Output Management,['Andrew S. Grove'],7,1983,1997,"English, Chinese",2,True,"['xxk', 'nyu', 'ch']",3,"['London', 'New York', 'Taibei Shi']",3,7,1,1,217,264,"['eng', 'chi']","['Souvenir', 'Souvenir Press Ltd', 'Pan', 'Vintage', 'Yuan liu chu ban shi ye gu fen you xian gong si', 'Random House', 'Vintage Books']","['0285626590', '0330289632', '0679772049', '0679762884', '9573232790', '0394532341', '0394728270']",7,['9780679772040'],['Paperback'],"['English', 'Chinese']",1983.0,0.0,False
BOOK00293,Financial Management,"['Eugene F. Brigham', 'Michael C. Ehrhardt']",29,1977,2010,English,1,False,"['at', 'ilu', 'txu', 'xxu', 'xxk', 'ohu', 'ja']",7,"['Australia', 'United States', 'Chicago', 'Fort Worth', 'London', 'Hinsdale, Ill', 'USA', 'Mason, Ohio', 'Tokyo']",9,14,11,2,23,1192,['eng'],"['Harcourt College Publishers', 'Dryden Press', 'Thomson Learning', 'South-Western/Thomson Learning', 'Dryden P.', 'South-Western Pub', 'Dryden', 'Dryden Press/Harcourt Brace Jovanovich College Publishers', 'Thomson Business and Economics', 'South-Western College Pub', 'South-Western Publishing', 'Thomson South-Western', 'Holt-Saunders Japan', 'Harcourt College Pub']","['0030335612', '0030210291', '0030989299', '003012543X', '0030980666', '003022828X', '0030454018', '0030189667', '0030233682', '0030047633', '003033568X', '0030595932', '0324422695', '0030329310', '0030177898', '0030716934', '0324235976', '0030240530', '0030243998', '0324224168', '0030326729', '4833702495', '003021209X']",23,"['9780030335617', '9780030210297', '9780030989292', '9780030233685', '9780030335686', '9780030329319', '9781439078099', '9780324235975', '9780030240539', '9780324224160', '9780030212093']","['Hardcover', 'Paperback']",['English'],1977.0,0.0,False
BOOK00294,Human resource management,"['R. Wayne Mondy', 'Robert M. Noe', 'Shane R. Premeaux', 'Ronald Knowles', 'Joseph J. Martocchio']",43,1990,2018,English,1,False,"['onc', 'nju', 'mau', 'enk']",4,"['Toronto', 'Boston', 'Upper Saddle River, NJ', 'Upper Saddle River, N.J', 'London']",5,10,30,3,410,744,['eng'],"['Prentice Hall', 'Person Learning Solutions', 'Pearson Higher Education & Professional Group', 'PEARSON', 'Pearson Education, Limited', 'Pearson', 'Pearson Canada, Toronto', 'Prentice Hall College Div', 'Allyn and Bacon', 'Pearson Prentice Hall']","['0133063275', '1256774790', '1256732850', '0133796043', '0133848892', '0130143367', '0133848809', '0131447068', '0205142184', '0139227822', '0132225956', '0132298325', '0136077285', '0131447165', '0205121217', '0130322806']",16,"['9780133063271', '9781256774792', '9781256732853', '9781292094373', '9781292264332', '9781292094380', '9780133796049', '9780133848892', '9780130423504', '9780131273894', '9780137128235', '9780130143365', '9780133848809', '9780132553070', '9780133043549', '9780132553001', '9780136077282', '9780138005689', '9780132553605', '9780273752998', '9780133129939', '9780133130676', '9780132574853', '9780133254112', '9780273787006', '9780131447066', '9780131467262', '9780132667333', '9780273753070', '9780130104809']","['digital', 'Paperback', 'hardcover']",['English'],1990.0,0.0,False
BOOK00295,"Mind Management, Not Time Management",['David Kadavy'],2,2020,2021,English,1,False,[],0,[],0,1,2,2,262,262,['eng'],"['Kadavy, Inc.']","['057830175X', '0578733692']",2,"['9780578301754', '9780578733692']","['hardcover', 'paperback']",['English'],2020.0,0.0,False
