wikidata_id,wikidata_label,wikidata_description,instance_of_qids,citizenship_qids,birthplace_qids,birth_dates,occupation_qids,external_id_claims
Q729789,Peter Fleming,American tennis player,['Q5'],['Q30'],['Q3017853'],['+1955-01-21T00:00:00Z'],['Q10833314'],"{'P373': ['Peter Fleming (tennis)'], 'P536': ['F030'], 'P555': ['510–177'], 'P599': ['10002245'], 'P564': ['224–213'], 'P646': ['/m/05_pr_'], 'P18': ['Fleming-Forget.jpg'], 'P2641': ['800175709'], 'P1417': ['biography/Peter-Fleming'], 'P8618': ['peter-fleming/800175709/usa'], 'P10028': ['PeterFleming'], 'P11585': ['1420'], 'P3368': ['1949954'], 'P4544': ['5025']}"
Q7174866,Peter J. Fleming,Professor of Industrial Systems,['Q5'],[],[],[],"['Q81096', 'Q15976092']","{'P2456': ['f/PeterJFleming'], 'P496': ['0000-0001-9837-8404'], 'P1053': ['B-3397-2009'], 'P1153': ['7201956961'], 'P3829': ['2869012'], 'P646': ['/m/0j444td']}"
Q2313675,Paul Newton,British musician,['Q5'],['Q145'],['Q23204'],['+1945-02-21T00:00:00Z'],['Q12360214'],"{'P691': ['xx0133694'], 'P214': ['169185110'], 'P434': ['5e7ddc79-14ba-419c-8af3-ba1f0e116e43'], 'P646': ['/m/0b6s08'], 'P1953': ['522724'], 'P213': ['0000000385962163'], 'P3987': ['736265'], 'P1728': ['mn0001542192'], 'P18': ['Paul Newton, Uriah heep 2012.jpg'], 'P373': ['Paul Newton (musician)']}"
Q81143001,Paul N. Newton,epidemiologist,['Q5'],[],[],[],['Q12765408'],"{'P496': ['0000-0002-4608-6431'], 'P8446': ['491BBD61-8909-4383-88EA-B171A8467045']}"
Q7152716,Paul Newton,Australian artist (born 1961),['Q5'],['Q408'],['Q3130'],['+1961-00-00T00:00:00Z'],['Q1028181'],"{'P244': ['no2014075860'], 'P214': ['308769819'], 'P646': ['/m/08b9zm'], 'P10832': ['E39PBJbCPBPftJvqCKgFPpdYT3']}"
Q79965121,Paul D Newton,English health sociologist,['Q5'],[],[],[],['Q1650915'],"{'P496': ['0000-0002-8525-6763'], 'P6178': ['01371020622.52']}"
Q60057461,Paul Newton,"Aerospace, Mechanical Engineering, Mathematics researcher",['Q5'],[],[],[],['Q1650915'],"{'P496': ['0000-0002-9477-0318'], 'P6594': ['paul-newton']}"
Q21449958,Rosenberger,family name,['Q101352'],[],[],[],[],"{'P3878': ['R251'], 'P373': ['Rosenberger (surname)'], 'P6597': ['1061'], 'P3880': ['RSNPK1'], 'P4839': ['Entity[""Surname"", ""Rosenberger""]'], 'P3370': ['ROSENBERGER'], 'P9644': ['ROSENBERGER'], 'P3879': ['7861747'], 'P8168': ['Q195185']}"
Q132234198,Rosenberger,,['Q5'],[],[],[],[],"{'P781': ['4031274'], 'P13675': ['4031274']}"
Q2167037,Rosenberger,lunar impact crater,"['Q55818', 'Q1348589']",[],[],[],[],"{'P646': ['/m/05d9d5'], 'P2824': ['5189'], 'P373': ['Rosenberger (crater)'], 'P18': ['Rosenberger crater 4070 h3.jpg']}"
Q106113617,Rosenbergerová,family name,['Q18972207'],[],[],[],[],{}
Q14399844,Rosenberger,,['Q6881511'],[],[],[],[],"{'P856': ['http://www.rosenberger.cc/'], 'P373': ['Rosenberger'], 'P2671': ['/g/12pgdcf8n'], 'P18': ['01 Österreich Autobahn Raststation - Rosenberger Restaurant.jpg']}"
Q91932103,David C. Parkes,British-American computer scientist,['Q5'],['Q30'],['Q146705'],[],"['Q82594', 'Q3400985']","{'P1960': ['JUn8PgwAAAAJ'], 'P496': ['0000-0002-2701-3464'], 'P2456': ['p/DavidCParkes'], 'P6023': ['43852104'], 'P856': ['https://lish.harvard.edu/people/david-c-parkes', 'https://www.eecs.harvard.edu/~parkes/'], 'P2671': ['/g/11hfbw_xcl'], 'P549': ['123362'], 'P4955': ['676640'], 'P227': ['134054121'], 'P244': ['no2009161463'], 'P213': ['000000007193926X'], 'P214': ['101500210'], 'P2002': ['sarahayres3']}"
Q18756642,David Parkes,schoolmaster and antiquary (1763–1833),['Q5'],"['Q161885', 'Q174193']",['Q612260'],['+1763-02-21T00:00:00Z'],"['Q37226', 'Q5697103']","{'P245': ['500019825'], 'P214': ['95803058'], 'P2843': ['B00136220'], 'P2973': ['33724'], 'P1415': ['21351'], 'P3029': ['F38340'], 'P1711': ['41153'], 'P4169': ['5702'], 'P2966': ['parkes-david-1763-1833', 'david-parkes'], 'P6821': ['alvin-person:16863'], 'P650': ['61855'], 'P12749': ['Q63752'], 'P4432': ['00095229T']}"
Q75862289,David Brian Parkes,Peerage person ID=363225,['Q5'],[],[],[],[],{'P4638': ['p36323.htm#i363225']}
Q19023824,"Parkes, David (DNB00)",entry in Dictionary of National Biography,['Q19389637'],[],[],[],[],{}
Q5238390,David Parkes,"Irish footballer, played in the League of Ireland 1967-1977",['Q5'],['Q27'],['Q1761'],['+1950-04-07T00:00:00Z'],"['Q937857', 'Q177220']","{'P7704': ['agent/base/10937'], 'P646': ['/m/02qz0j0'], 'P3537': ['326407']}"
Q374338,Stanley A. McChrystal,American general,['Q5'],['Q30'],['Q590879'],['+1954-08-14T00:00:00Z'],"['Q38239859', 'Q11545923', 'Q1622272', 'Q4991371']","{'P373': ['Stanley A. McChrystal'], 'P345': ['nm4471839'], 'P18': ['Stanley McChrystal BG 1999.jpg'], 'P646': ['/m/05557v4'], 'P227': ['1031696113'], 'P214': ['103582299'], 'P244': ['no2009201339'], 'P935': ['Stanley A. McChrystal'], 'P2190': ['stanleymcchrystal'], 'P2163': ['1915270'], 'P2002': ['stanmcchrystal', 'StanMcChrystal'], 'P2267': ['stanley-mcchrystal'], 'P2611': ['stanley_mcchrystal'], 'P3106': ['world/stanley-mcchrystal'], 'P3183': ['person/M/stanley-mcchrystal/6163'], 'P1741': ['222198'], 'P3417': ['Stanley-A-McChrystal'], 'P1263': ['595/000237881'], 'P1417': ['biography/Stanley-McChrystal'], 'P1296': ['0522447'], 'P1006': ['403849438'], 'P213': ['0000000073484609'], 'P269': ['170294250'], 'P2963': ['3898235'], 'P5034': ['KAC201617993'], 'P691': ['jo20201089950'], 'P648': ['OL7155908A'], 'P7293': ['9810556724305606'], 'P6683': ['273877'], 'P9743': ['107ZzkEc2D'], 'P8189': ['987007449057005171'], 'P8313': ['Stanley_A._McChrystal'], 'P10660': ['89382'], 'P3368': ['516714'], 'P10302': ['stanley-mcchrystal'], 'P12385': ['stanley-a.-mcchrystal'], 'P10832': ['E39PBJqKdhCJ8TBCvhtbbhXWXd'], 'P13049': ['1031696113'], 'P6640': ['380557'], 'P2949': ['McChrystal-20'], 'P13591': ['person/4e3185a7-21c4-433a-a9c4-e1dd53279d4d'], 'P7902': ['1031696113'], 'P13772': ['stanley-mcchrystal']}"
Q130461376,Tantum Collins,,['Q5'],[],[],[],"['Q978044', 'Q1238570']","{'P691': ['mub20241239542'], 'P213': ['0000000450494053'], 'P496': ['0009-0004-8461-6028'], 'P227': ['1161430571'], 'P13049': ['1161430571'], 'P214': ['316546695'], 'P269': ['190250798']}"
Q919608,David Silverman,American animator and director,['Q5'],['Q30'],['Q60'],['+1957-03-15T00:00:00Z'],"['Q2526255', 'Q266569', 'Q33999', 'Q3282637']","{'P213': ['0000000114740964'], 'P227': ['1015428827'], 'P345': ['nm0798899'], 'P214': ['27279710'], 'P646': ['/m/04vlh5'], 'P244': ['n2005024955'], 'P18': ['David Silverman in 2007-cropped.JPG'], 'P1266': ['35019'], 'P2019': ['p266906'], 'P2168': ['294706'], 'P2387': ['163703'], 'P2605': ['26870'], 'P2626': ['145231'], 'P2519': ['6846'], 'P2604': ['50549'], 'P373': ['David Silverman (animator)'], 'P906': ['340417'], 'P1207': ['n2011076795'], 'P742': ['Pound Foolish'], 'P1006': ['306714795'], 'P5534': ['197'], 'P268': ['144030782'], 'P269': ['085237957'], 'P950': ['XX1788999'], 'P5587': ['pm149tg72tnblsf'], 'P5622': ['bios/Silvermaneps.jpg'], 'P691': ['xx0123882'], 'P2002': ['tubatron'], 'P7214': ['478199'], 'P2688': ['davidsilverman'], 'P7704': ['agent/base/69975'], 'P1580': ['a1320072'], 'P2638': ['people/david-silverman'], 'P6150': ['6176'], 'P3987': ['456189'], 'P4985': ['197'], 'P9984': ['981058526184106706'], 'P9463': ['197'], 'P9995': ['48240'], 'P8189': ['987009538369705171'], 'P1015': ['1634286305781'], 'P8179': ['ncf11506560'], 'P3846': ['87097969694934'], 'P7699': ['LNB:BYZX;=Bp'], 'P409': ['42439456'], 'P7293': ['9812441994905606'], 'P3065': ['A013764049'], 'P1280': ['93866851'], 'P11683': ['devid-silverman-1'], 'P11686': ['981058526184106706'], 'P9404': ['359'], 'P1617': ['1aabfe95-49ba-432a-a5b0-8af5aeb28ce2'], 'P12098': ['94269'], 'P12153': ['938970317'], 'P9707': ['16985'], 'P10832': ['E39PBJvd3prpTwrg3JKG3k6Yfq'], 'P9662': ['162239'], 'P1315': ['1457943'], 'P12854': ['5d7768267e9a3c0020c6ab00'], 'P13591': ['person/84322f22-c67e-40f4-b066-f4bb9b182e6d'], 'P7184': ['04vlh5'], 'P434': ['b8a66955-f00d-4479-af79-6cddbcf135ca'], 'P14178': ['xx0123882'], 'P3368': ['782856'], 'P3430': ['w69s3p1d'], 'P14750': ['1B2B-93D8-D6D2-4FFA-7484'], 'P7553': ['28645'], 'P10166': ['david-silverman-1957']}"
Q107128070,David Silverman,British sociologist (1943-),['Q5'],['Q145'],[],['+1943-01-01T00:00:00Z'],"['Q2306091', 'Q1622272', 'Q901']","{'P214': ['267500277'], 'P1015': ['90177697'], 'P4619': ['000462442'], 'P268': ['12359865z'], 'P8179': ['ncf10932896'], 'P227': ['141743867'], 'P213': ['0000000458766690'], 'P8189': ['987007431807805171'], 'P244': ['nb2007008944'], 'P7699': ['LNB:CQEJ;=1A'], 'P1368': ['000034106'], 'P349': ['001345609'], 'P271': ['DA00304173'], 'P691': ['xx0040928', 'mub20241242168'], 'P1006': ['067596401'], 'P1207': ['n98005299'], 'P7293': ['9810538625605606'], 'P3065': ['A018563794'], 'P5587': ['ljx16qc4584lsdr'], 'P1280': ['28538211'], 'P269': ['032599781'], 'P9984': ['981058524680606706'], 'P10553': ['631177094'], 'P3987': ['50587'], 'P5731': ['45413'], 'P5739': ['73907'], 'P3280': ['0000083580'], 'P11496': ['1140282266753621632'], 'P11686': ['981058524680606706'], 'P11182': ['77521'], 'P12458': ['192581'], 'P10832': ['E39PBJr7QVBQh7ttPrRc4Gy68C'], 'P13591': ['person/a82dac63-32a8-4638-8270-b16013ae979d'], 'P13049': ['141743867'], 'P13204': ['duw2m2fh']}"
Q20815807,David Silverman,Wikimedia disambiguation page,['Q22808320'],[],[],[],[],{}
Q5239795,David Silverman,American Atheist activist,['Q5'],['Q30'],['Q27416'],['+1966-08-13T00:00:00Z'],"['Q8246794', 'Q2059704']","{'P214': ['305361559'], 'P244': ['n2013063773'], 'P2002': ['mratheistpants', 'MrAtheistPants'], 'P18': ['David Silverman-Apr 4 2011.JPG'], 'P2267': ['david-silverman'], 'P646': ['/m/0gmfnwh'], 'P373': ['David Silverman (activist)'], 'P856': ['https://firebrandforgood.com/'], 'P10832': ['E39PBJrCfpcjTcTxkhvYfdcVmd']}"
Q89536475,David Silverman,researcher,['Q5'],[],[],[],['Q1650915'],{'P496': ['0000-0003-1842-5739']}
Q131261928,Chris Fussell,,['Q5'],[],[],[],"['Q189290', 'Q978044', 'Q11545923']","{'P691': ['mub20241243110'], 'P213': ['0000000451140898'], 'P227': ['1161430172'], 'P13049': ['1161430172'], 'P214': ['316795230'], 'P269': ['190250992'], 'P13591': ['person/b53b5d84-1049-44f1-ae7b-35fb85adfeb3']}"
Q5106608,Chris Fussell,American baseball player,['Q5'],['Q30'],[],['+1976-05-19T00:00:00Z'],['Q10871364'],"{'P1825': ['f/fussech01'], 'P1826': ['fussel001chr'], 'P4731': ['5368'], 'P6976': ['fussc001'], 'P646': ['/m/02vs2s2'], 'P5421': ['20472'], 'P4409': ['fussech01'], 'P3368': ['2510826']}"
Q114552285,LeaderTreks Youth Ministry,Christian Community for Youth,['Q94670589'],[],[],[],[],"{'P1329': ['8775020699'], 'P856': ['https://www.leadertreks.org/']}"
Q100378079,Tammy Peterson,,['Q5'],['Q16'],['Q172'],['+1965-06-03T00:00:00Z'],['Q662729'],"{'P345': ['nm13355388'], 'P214': ['305277557'], 'P244': ['n2013059244']}"
Q112467419,Carolyn M. Shields,,['Q5'],[],[],['+1945-00-00T00:00:00Z'],['Q121594'],"{'P691': ['mzk2013773723'], 'P214': ['37192883'], 'P1207': ['n2020205585'], 'P269': ['087281856'], 'P213': ['000000007369231X'], 'P244': ['n00084188'], 'P268': ['150048946'], 'P227': ['129806269'], 'P8189': ['987007442343005171'], 'P13049': ['129806269'], 'P13591': ['person/8f8314ff-4fb1-4dfa-a1c4-5a290acbaa9e']}"
Q135436992,Leighton Ford,canadian-American evangelist and author (born 1931),['Q5'],[],[],['+1931-01-01T00:00:00Z'],['Q36180'],{}
Q91890750,Glenn A Walter,researcher (ORCID 0000-0002-7346-2244),['Q5'],[],[],[],['Q1650915'],{'P496': ['0000-0002-7346-2244']}
Q89807185,Glenn D Walters,researcher,['Q5'],[],[],['+1954-01-01T00:00:00Z'],"['Q1650915', 'Q1622272']","{'P496': ['0000-0002-7219-1542'], 'P227': ['1046478354'], 'P214': ['306267661']}"
Q132564774,Glenn Walters,researcher (ORCID 0000-0001-8305-4976),['Q5'],[],[],[],['Q1650915'],{'P496': ['0000-0001-8305-4976']}
Q48987503,Glenn Walters Dam,"dam in Washington County, Oregon, United States of America",['Q12323'],[],[],[],[],"{'P1566': ['5728520'], 'P590': ['1163658'], 'P9439': ['OR00495']}"
Q105397249,Glenn Walters,Wikimedia disambiguation page,['Q4167410'],[],[],[],[],{}
Q101573250,Monica Sharma,researcher ORCID 0000-0003-3599-0596,['Q5'],[],[],[],[],{'P496': ['0000-0003-3599-0596']}
Q79372452,Monica Sharma,researcher (ORCID 0000-0002-7029-293X),['Q5'],[],[],[],['Q1650915'],"{'P496': ['0000-0002-7029-293X'], 'P1153': ['57192543932']}"
Q87813327,Monica Sharma,researcher (ORCID 0000-0002-5078-5518),['Q5'],[],[],[],['Q1650915'],"{'P496': ['0000-0002-5078-5518'], 'P1153': ['55342543300']}"
Q64149112,Monica Sharma,researcher (ORCID 0000-0001-6212-2853),['Q5'],[],[],[],['Q1650915'],"{'P496': ['0000-0001-6212-2853'], 'P1153': ['55580120300']}"
Q19898333,Monica Sharma,Indian television actress,['Q5'],['Q668'],['Q987'],['+1992-09-15T00:00:00Z'],"['Q33999', 'Q4610556', 'Q18581305', 'Q10798782']","{'P2003': ['monica_sharma15'], 'P345': ['nm7782812'], 'P646': ['/m/01311xpr'], 'P7923': ['monica-sharma'], 'P3368': ['2085571'], 'P18': ['Monica Sharma.png'], 'P14750': ['EF66-F93B-EB3D-36DA-F239']}"
Q59140026,Dennis Tourish,professor of leadership studies,['Q5'],[],[],['+1957-01-01T00:00:00Z'],['Q188094'],"{'P1960': ['W6XrOJoAAAAJ'], 'P214': ['29771893'], 'P691': ['utb2009505306'], 'P244': ['n98088556'], 'P1006': ['258431571'], 'P1207': ['n2006152341'], 'P8189': ['987007448611705171'], 'P269': ['088590097'], 'P227': ['173310354'], 'P10832': ['E39PBJv4hhvK8KRfG4JHTjbDbd'], 'P1368': ['000041002'], 'P213': ['0000000117546390'], 'P13591': ['person/d111ae09-acd5-4026-b1ac-a76acf84f85a'], 'P13906': ['1488478']}"
Q116251743,John D. Adams,journalist and co-owner of the Arkansas Gazette,['Q5'],[],['Q494815'],['+1827-06-23T00:00:00Z'],"['Q11293375', 'Q24266767']","{'P535': ['38429150'], 'P2949': ['Adams-51393']}"
Q41690335,John Donley Adams,American lawyer,['Q5'],['Q30'],['Q43421'],['+1974-00-00T00:00:00Z'],['Q82955'],{'P2671': ['/g/11f11jtgcl']}
Q6218170,John Adams,current Chief of the Communications Security Establishment Canada and Associate Deputy Minister of National Defence,['Q5'],['Q16'],['Q203403'],['+1942-05-31T00:00:00Z'],[],"{'P214': ['28482697'], 'P3430': ['w6hq5tt9'], 'P227': ['129010286'], 'P244': ['n50037022'], 'P349': ['00462035'], 'P1207': ['n2011167148'], 'P1006': ['071826025'], 'P213': ['0000000079881744'], 'P269': ['15796793X'], 'P691': ['jn20021219005'], 'P646': ['/m/0b77p4_'], 'P8189': ['987007444223405171'], 'P11249': ['14463263'], 'P10832': ['E39PBJtRFFGpGBQjGm6xjYXcfq'], 'P13951': ['177700'], 'P13204': ['a99v9945']}"
Q75952876,Richard Higginson Lowe,Peerage person ID=426117,['Q5'],[],[],[],[],{'P4638': ['p42612.htm#i426117']}
Q139460411,,,['Q5'],[],[],[],"['Q1234713', 'Q1622272']",{'P691': ['utb20191034628']}
Q139466667,,,['Q5'],[],[],[],['Q1622272'],{'P691': ['xx0247037']}
Q130775381,Myint Swe Khine,,['Q5'],[],[],[],['Q1622272'],"{'P227': ['1081102535'], 'P13049': ['1081102535'], 'P213': ['0000000114444903'], 'P214': ['54445238'], 'P1368': ['000170165'], 'P1207': ['n2009050535'], 'P12458': ['542411'], 'P496': ['0000-0003-2582-7306']}"
Q133463417,William T. Leonard,American writer on film and theatre,['Q5'],['Q30'],['Q753759'],['+1918-10-26T00:00:00Z'],['Q36180'],"{'P1315': ['903276'], 'P648': ['OL1189181A', 'OL5281370A'], 'P214': ['111396759', '92049037'], 'P244': ['n79007396'], 'P227': ['1166069818'], 'P7293': ['9810545537105606'], 'P4862': ['B001KHRWLM'], 'P2963': ['213719'], 'P13591': ['person/7fb67ecb-dfc6-4d79-a54b-9259b59691b2'], 'P8189': ['987007349754505171']}"
Q102202487,"John E. Roueche, Jr.",Ph.D. Florida State University 1964,['Q5'],[],[],[],[],{'P549': ['45670']}
Q20007054,George Augustus Baker,American painter (1821–1880),['Q5'],['Q30'],['Q60'],['+1821-03-19T00:00:00Z'],['Q1028181'],"{'P650': ['3701'], 'P1711': ['18184'], 'P373': ['George Augustus Baker Jr.'], 'P1472': ['George Augustus Baker Jr.'], 'P2163': ['1572336'], 'P1367': ['baker-george-augustus-18211880'], 'P3762': ['174831', '224659'], 'P3965': ['28768'], 'P18': ['Self portrait, by George Augustus Baker.jpg'], 'P213': ['0000000401664239'], 'P3782': ['george-augustus-baker-jr'], 'P214': ['296283381'], 'P244': ['nr2002018598'], 'P245': ['500027491'], 'P6578': ['08880F9043BAF95F'], 'P2268': ['115019'], 'P4145': ['9398'], 'P4927': ['zoc01l9aun'], 'P646': ['/m/0jst167'], 'P1280': ['45363043'], 'P3791': ['3929'], 'P4432': ['10101501'], 'P7848': ['991003635609707141'], 'P535': ['90759929'], 'P10297': ['m0jst167', 'g11f1k464m2'], 'P3368': ['1108628'], 'P2734': ['BakerGeorgeAugustus'], 'P10882': ['2321'], 'P2671': ['/g/11f1k464m2'], 'P7545': ['23845'], 'P10832': ['E39PBJmy46KBHCtpFRCMprfpfq'], 'P5489': ['284442'], 'P13591': ['person/02f77704-aa0e-4b8d-9456-223c11a48f6c'], 'P14750': ['E13F-02AA-12AA-7672-3EDB']}"
Q109725444,George Augustus Baker,author and lawyer 1849-1906,['Q5'],[],['Q60'],['+1849-01-01T00:00:00Z'],"['Q40348', 'Q36180', 'Q185351']","{'P1938': ['6795'], 'P648': ['OL317321A'], 'P214': ['70277426'], 'P1233': ['95873'], 'P10883': ['baker_george_a'], 'P227': ['1236287851'], 'P213': ['0000000023647991'], 'P646': ['/m/0jst3p8']}"
Q102144720,George Baker,American statistician,['Q5'],['Q30'],[],"['+1903-10-31T00:00:00Z', '+1903-01-01T00:00:00Z']",['Q2732142'],"{'P549': ['4167'], 'P214': ['254752050'], 'P3368': ['1692040'], 'P13591': ['person/5e7b9460-9c76-4517-b8d9-4336a760c534'], 'P1556': ['baker.george-allen'], 'P227': ['1077825285'], 'P213': ['0000000377388958']}"
Q112377666,George Allen Baker,,['Q5'],[],[],['+1932-00-00T00:00:00Z'],['Q170790'],"{'P691': ['mzk2003188167'], 'P214': ['94290412'], 'P1207': ['n97039034'], 'P213': ['0000000109264991'], 'P244': ['n81032271'], 'P8189': ['987007273770405171'], 'P3987': ['54246'], 'P269': ['070842299'], 'P227': ['142605077'], 'P268': ['122763982'], 'P1015': ['90334630'], 'P8179': ['ncf11241813'], 'P271': ['DA03004518'], 'P409': ['36068402'], 'P1006': ['06926600X'], 'P3065': ['A012376612'], 'P11496': ['1140282266599493120'], 'P13591': ['person/81c38947-1372-441b-b5be-c6e32b61958c'], 'P7293': ['9813991094405606']}"
Q141435154,,,['Q5'],[],[],['+1932-07-29T00:00:00Z'],[],{'P227': ['1077825404']}
Q64020339,Robert R. Rose,,['Q5'],[],[],['+1937-01-01T00:00:00Z'],[],"{'P244': ['n88152983'], 'P1225': ['10571568'], 'P214': ['117635393'], 'P10832': ['E39PBJmMYrBRxdYKywFffQpwYP']}"
Q18681522,Robert R. Rosenbaum,American medical doctor and philanthropist,['Q5'],[],[],[],[],{}
Q62018363,Robert R. Rose Jr.,American judge,['Q5'],['Q30'],['Q462799'],['+1915-11-01T00:00:00Z'],[],"{'P2671': ['/g/11h5vgtdkr'], 'P8462': ['rose.html#323.62.93'], 'P3368': ['1237536'], 'P14885': ['1885']}"
Q6390837,Kenneth Wiltshire,Australian academic,['Q5'],['Q408'],[],['+1944-12-11T00:00:00Z'],[],"{'P244': ['n50015783'], 'P214': ['64093452'], 'P3430': ['w6zw1ktn'], 'P227': ['170306860'], 'P213': ['0000000083887516'], 'P1006': ['074111892'], 'P3987': ['309831'], 'P269': ['033240256'], 'P268': ['12412666d'], 'P1207': ['n2020180032'], 'P646': ['/m/072cq9'], 'P8189': ['987007435471105171'], 'P10832': ['E39PBJtXbBkrPPgmQFqMKFHKVC'], 'P13591': ['person/00ec2551-a87e-43fa-b111-46d7278fe11d']}"
Q1674335,Ismael Sánchez,Dominican bicycle racer,['Q5'],['Q786'],['Q538953'],['+1982-06-17T00:00:00Z'],['Q2309784'],"{'P1409': ['16868'], 'P1663': ['139214'], 'P1541': ['3747'], 'P2671': ['/g/122cz0nw'], 'P11020': ['161812'], 'P14105': ['2000196282']}"
Q122964945,Ismael Sánchez,Argentinian soldier,['Q5'],['Q414'],[],[],['Q4991371'],{}
Q50737636,Ismael Sánchez Estevan,,['Q5'],['Q29'],['Q14317'],"['+1879-01-01T00:00:00Z', '+1879-12-05T00:00:00Z']","['Q17337766', 'Q36180', 'Q212238', 'Q6673651']","{'P214': ['86990731'], 'P950': ['XX1223578'], 'P269': ['144513064'], 'P1006': ['135652081'], 'P213': ['0000000059827142'], 'P227': ['1056201363'], 'P5498': ['23860'], 'P3987': ['693412', '394135'], 'P7369': ['000168989'], 'P10832': ['E39PBJrwRbKbr8CyBFDDJ6CG73'], 'P18': ['1929-10-01, Vida Gráfica Española, Ismael Sánchez Estevan (cropped).jpg'], 'P9226': ['sanchez-estevan-ismael-1880-1962'], 'P3964': ['14361'], 'P373': ['Ismael Sánchez Estevan'], 'P2671': ['/g/11f6464td0']}"
Q124650221,Ismael Sánchez-Jiménez,researcher,['Q5'],[],[],[],['Q1650915'],{}
Q73470033,Ismael Sánchez-Ramos,researcher,['Q5'],[],[],[],['Q1650915'],{'P496': ['0000-0003-0070-2953']}
Q7346224,Robert K. Greenleaf,American consultant (1904–1990),['Q5'],[],[],['+1904-01-01T00:00:00Z'],[],"{'P214': ['77241566'], 'P213': ['0000000114486927'], 'P1006': ['13445572X'], 'P2163': ['36788'], 'P244': ['n79061083'], 'P3430': ['w6pk1fxr'], 'P227': ['124181562'], 'P349': ['01148788'], 'P1015': ['98027330'], 'P1368': ['000010215'], 'P1280': ['197265507'], 'P269': ['090196678'], 'P691': ['uk2006349551'], 'P5739': ['113833'], 'P5034': ['KAC200603532'], 'P646': ['/m/0d2vry'], 'P3368': ['1684875'], 'P10553': ['085691143'], 'P8189': ['987007441075605171'], 'P11182': ['67250'], 'P12458': ['262995'], 'P10832': ['E39PBJwMyYm9Ry9g8bcgcYyjmd'], 'P13591': ['person/e02063d0-28c2-4129-a717-05e1f5554bb9'], 'P648': ['OL227813A'], 'P14178': ['uk2006349551']}"
Q11301302,Kent M. Keith,American writer and sociologist,['Q5'],['Q30'],['Q18419'],['+1949-00-00T00:00:00Z'],"['Q36180', 'Q2306091']","{'P214': ['60559553'], 'P349': ['00890968'], 'P227': ['170329925'], 'P244': ['n86034693'], 'P1015': ['4012323'], 'P213': ['000000006366661X'], 'P268': ['162167943'], 'P5034': ['KAC200306049'], 'P646': ['/m/0dmhm'], 'P691': ['mzk2002160874'], 'P10832': ['E39PBJjMBqFyq4hqwrTFbf8grq'], 'P13049': ['170329925'], 'P10387': ['31520'], 'P13591': ['person/b9ff2c0a-0d4d-4cae-a1a2-94c216af3e3b'], 'P9322': ['p0109077-Keith-Kent-M'], 'P8189': ['987013961810305171']}"
Q64497023,Geoff Watts,researcher,['Q5'],[],[],[],"['Q1650915', 'Q3745071']",{}
Q112537130,Geoff Watts,,['Q5'],[],[],['+1979-00-00T00:00:00Z'],"['Q1104185', 'Q2994387']","{'P691': ['vse20191041856'], 'P214': ['315606673'], 'P227': ['1204152195'], 'P5361': ['WattsGeoff1979-'], 'P213': ['0000000448033610']}"
Q6846351,Mike Cohn,American software developer,['Q5'],['Q30'],['Q49247'],['+1962-08-25T00:00:00Z'],['Q36180'],"{'P214': ['160604397'], 'P213': ['0000000121967825'], 'P227': ['142964522'], 'P269': ['145820009'], 'P373': ['Mike Cohn'], 'P244': ['n97001396'], 'P1006': ['320433536'], 'P1368': ['000192141'], 'P349': ['01152138'], 'P18': ['Mike Cohn 2013-06-12.jpg'], 'P1280': ['157224291'], 'P691': ['vse2011649624'], 'P5361': ['CohnMike1962-'], 'P856': ['https://www.mountaingoatsoftware.com/'], 'P5034': ['KAC200604194'], 'P1207': ['n2007124160'], 'P646': ['/m/04ym79v'], 'P9251': ['101811'], 'P8189': ['987007371974005171'], 'P3368': ['2076327'], 'P11249': ['14445756'], 'P11182': ['79944'], 'P2963': ['2620'], 'P10832': ['E39PBJmtxGMqvYDmKTxYXPKrv3'], 'P13049': ['142964522'], 'P13591': ['person/9205deee-e394-4009-a07e-2b71686d85c6'], 'P14178': ['vse2011649624']}"
Q130767212,Esther Derby,,['Q5'],[],['Q485708'],[],['Q82594'],"{'P227': ['1175974161'], 'P13049': ['1175974161'], 'P213': ['0000000041215850'], 'P214': ['46186160'], 'P13591': ['person/3b41d7f8-d94b-4f2c-8c77-6dc2ec5e3093']}"
